epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2778.83,0.97838,0.54257,0.90616,0.81713,0.66133,0.71958,0.4243,1.19417,0.64197,0.96815,0.007921,0.007921,0.007921
44,2843.35,0.9731,0.53826,0.90373,0.81425,0.65016,0.71411,0.4194,1.19914,0.6411,0.97022,0.0078715,0.0078715,0.0078715
45,2907.59,0.96946,0.53705,0.90365,0.80924,0.65603,0.71902,0.42307,1.19965,0.6444,0.96798,0.007822,0.007822,0.007822
46,2971.96,0.96714,0.5342,0.90206,0.80325,0.65688,0.71279,0.41928,1.20164,0.64104,0.96827,0.0077725,0.0077725,0.0077725
47,3036.34,0.95963,0.5298,0.9,0.79135,0.67151,0.71411,0.41726,1.20293,0.63599,0.97051,0.007723,0.007723,0.007723
48,3100.74,0.95849,0.52941,0.90056,0.79919,0.66101,0.71066,0.42056,1.1959,0.63949,0.96446,0.0076735,0.0076735,0.0076735
49,3164.93,0.95894,0.52798,0.89978,0.81418,0.65639,0.7115,0.42553,1.19584,0.6423,0.96621,0.007624,0.007624,0.007624
50,3229.41,0.95076,0.52613,0.89901,0.80856,0.65516,0.71312,0.42684,1.19338,0.63349,0.96661,0.0075745,0.0075745,0.0075745
51,3293.39,0.94538,0.5233,0.89635,0.80629,0.66621,0.71943,0.4232,1.19651,0.63346,0.96784,0.007525,0.007525,0.007525
52,3357.24,0.94236,0.51872,0.89479,0.81476,0.65376,0.71461,0.42447,1.19503,0.63103,0.96856,0.0074755,0.0074755,0.0074755
53,3423.91,0.94125,0.52039,0.89532,0.81478,0.6461,0.71102,0.42466,1.19462,0.63567,0.96751,0.007426,0.007426,0.007426
54,3488.49,0.93421,0.51625,0.89383,0.80503,0.65357,0.71417,0.4227,1.19552,0.63613,0.96618,0.0073765,0.0073765,0.0073765
55,3552.86,0.92965,0.51416,0.89275,0.81612,0.66194,0.71842,0.427,1.1937,0.6322,0.96601,0.007327,0.007327,0.007327
56,3617.24,0.92891,0.51354,0.89266,0.82428,0.6513,0.71507,0.42567,1.19845,0.63498,0.9685,0.0072775,0.0072775,0.0072775
57,3681.95,0.93067,0.51371,0.8924,0.83077,0.65159,0.71476,0.42622,1.19585,0.63642,0.96752,0.007228,0.007228,0.007228
58,3746.86,0.92583,0.51191,0.89103,0.83769,0.64511,0.71308,0.4262,1.19611,0.63248,0.96832,0.0071785,0.0071785,0.0071785
59,3811.38,0.92293,0.51053,0.89139,0.82142,0.66298,0.71977,0.42959,1.19441,0.63187,0.96828,0.007129,0.007129,0.007129
60,3876.17,0.92317,0.5081,0.88977,0.81396,0.66231,0.72,0.42684,1.19666,0.62817,0.96717,0.0070795,0.0070795,0.0070795
61,3941.04,0.91598,0.50483,0.88791,0.82655,0.65842,0.71922,0.42353,1.19444,0.6284,0.9673,0.00703,0.00703,0.00703
62,4005.71,0.91693,0.50498,0.88786,0.82787,0.66018,0.71998,0.42753,1.19706,0.63034,0.96891,0.0069805,0.0069805,0.0069805
63,4069.93,0.91176,0.50167,0.88669,0.81062,0.66775,0.71952,0.42648,1.19774,0.63207,0.96853,0.006931,0.006931,0.006931
64,4134.28,0.91281,0.50205,0.88908,0.81174,0.66991,0.72136,0.428,1.19749,0.63207,0.96957,0.0068815,0.0068815,0.0068815
65,4198.97,0.90406,0.49812,0.88589,0.82035,0.6652,0.72208,0.43245,1.19464,0.63118,0.96829,0.006832,0.006832,0.006832
66,4263.27,0.90812,0.50053,0.88538,0.81787,0.66641,0.72063,0.43086,1.19433,0.62549,0.96714,0.0067825,0.0067825,0.0067825
67,4327.9,0.90296,0.49772,0.88423,0.82047,0.66943,0.72555,0.43018,1.19275,0.62332,0.9664,0.006733,0.006733,0.006733
68,4392.42,0.90229,0.49515,0.88418,0.83514,0.66691,0.72736,0.43091,1.19264,0.62713,0.96615,0.0066835,0.0066835,0.0066835
69,4457.1,0.89658,0.49455,0.88364,0.82915,0.66909,0.72751,0.43213,1.19267,0.62921,0.96623,0.006634,0.006634,0.006634
70,4521.63,0.89344,0.49298,0.88229,0.81261,0.67684,0.72792,0.43161,1.19186,0.62991,0.96585,0.0065845,0.0065845,0.0065845
71,4586.31,0.89001,0.4892,0.88206,0.81681,0.67795,0.7274,0.4308,1.19342,0.63032,0.96733,0.006535,0.006535,0.006535
72,4650.92,0.89123,0.49128,0.88132,0.81678,0.6692,0.72741,0.42884,1.19654,0.62887,0.96838,0.0064855,0.0064855,0.0064855
73,4715.5,0.88571,0.48783,0.88083,0.82431,0.66745,0.72875,0.42871,1.19566,0.62988,0.96818,0.006436,0.006436,0.006436
74,4780.11,0.88305,0.48847,0.88106,0.82088,0.66905,0.72875,0.42896,1.19674,0.62966,0.96879,0.0063865,0.0063865,0.0063865
75,4844.62,0.88267,0.48438,0.87918,0.83189,0.66271,0.72749,0.42887,1.197,0.62844,0.96879,0.006337,0.006337,0.006337
76,4909.18,0.8802,0.48307,0.8783,0.83751,0.66464,0.72837,0.43038,1.19568,0.62687,0.96826,0.0062875,0.0062875,0.0062875
77,4973.81,0.87669,0.48332,0.8776,0.83014,0.66853,0.72542,0.43036,1.19443,0.62801,0.96802,0.006238,0.006238,0.006238
78,5038.4,0.87605,0.48203,0.87932,0.82949,0.66843,0.72375,0.42997,1.19394,0.62919,0.96761,0.0061885,0.0061885,0.0061885
79,5102.94,0.87737,0.48414,0.87868,0.83021,0.66574,0.7235,0.42816,1.1943,0.63025,0.96793,0.006139,0.006139,0.006139
